"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Stellar Burgers API","0","Логин пользователя","1","0","Невалидные учётные данные","0"
"0","Stellar Burgers API","0","Создание заказа","1","0","Создание заказа с валидными ингредиентами","0"
"0","Stellar Burgers API","0","Создание заказа","1","0","Создание заказа с пустым списком ингредиентов","0"
"0","Stellar Burgers API","0","Создание пользователя","1","0","Повторная регистрация существующего пользователя","0"
"0","Stellar Burgers API","0","Создание заказа","1","0","Создание заказа с невалидным хешем ингредиента","0"
"0","Stellar Burgers API","0","Создание пользователя","1","0","Успешная регистрация нового пользователя","0"
"0","Stellar Burgers API","0","Создание пользователя","1","0","Регистрация без обязательного поля","0"
"0","Stellar Burgers API","0","Создание заказа","1","0","Неавторизованный пользователь создаёт заказ","0"
"0","Stellar Burgers API","0","Создание заказа","1","0","Авторизованный пользователь создаёт заказ","0"
"0","Stellar Burgers API","0","Логин пользователя","1","0","Успешный вход пользователя","0"
