"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что API возвращает 401 при неверных кредах.","175","Вход с неверным логином и паролем","Дипломная работа","2026-02-28","passed","2026-02-28","Пользователи","API-тесты Stellar Burgers","",""
"Проверяем успешное создание заказа при передаче валидного ингредиента.","270","Создание заказа с ингредиентами","Дипломная работа","2026-02-28","passed","2026-02-28","Заказы","API-тесты Stellar Burgers","",""
"Проверяем валидацию API: заказ без ингредиентов должен быть отклонён.","191","Создание заказа без ингредиентов","Дипломная работа","2026-02-28","passed","2026-02-28","Заказы","API-тесты Stellar Burgers","",""
"Проверяем, что API блокирует регистрацию уже существующего email.","425","Создание уже зарегистрированного пользователя","Дипломная работа","2026-02-28","passed","2026-02-28","Пользователи","API-тесты Stellar Burgers","",""
"Проверяем реакцию API на невалидный хеш ингредиента.","489","Создание заказа с неверным хешем ингредиентов","Дипломная работа","2026-02-28","passed","2026-02-28","Заказы","API-тесты Stellar Burgers","",""
"Проверяем, что уникальный пользователь создаётся и возвращаются токены.","251","Создание уникального пользователя","Дипломная работа","2026-02-28","passed","2026-02-28","Пользователи","API-тесты Stellar Burgers","",""
"Проверяем, что без поля name API возвращает ошибку валидации.","168","Создание пользователя без обязательного поля","Дипломная работа","2026-02-28","passed","2026-02-28","Пользователи","API-тесты Stellar Burgers","",""
"Проверяем создание заказа без токена авторизации.","386","Создание заказа без авторизации","Дипломная работа","2026-02-28","passed","2026-02-28","Заказы","API-тесты Stellar Burgers","",""
"Проверяем создание заказа с токеном и наличие заказа в персональной ленте.","4160","Создание заказа с авторизацией","Дипломная работа","2026-02-28","passed","2026-02-28","Заказы","API-тесты Stellar Burgers","",""
"Проверяем вход под заранее созданным пользователем.","525","Вход под существующим пользователем","Дипломная работа","2026-02-28","passed","2026-02-28","Пользователи","API-тесты Stellar Burgers","",""
